,Date,Price,EMA12,EMA26,MACD,SIGNAL,CROSS,DIRECTION
267,2023-03-14,24699.7,22413.005649895596,22683.861492174095,-270.85584227849904,-554.6737877852688,True,NONE
268,2023-03-15,24282.7,22716.826801793057,22810.170900431425,-93.34409863836845,-459.25539920152454,True,NONE
269,2023-03-16,25004.1,23121.157413019602,22977.248565424456,143.90884759514665,-328.245133870804,True,NONE
270,2023-03-17,27391.8,23878.023222715437,23333.512861292424,544.5103614230138,-132.1285172876096,True,NONE
271,2023-03-18,26914.5,24433.963629177964,23626.45436050749,807.5092686704738,86.07214352463174,True,NONE
272,2023-03-19,27958.7,25086.04972154889,23980.425242776044,1105.6244787728465,331.8172018514839,True,NONE
273,2023-03-20,27720.5,25600.654135059263,24292.127988662545,1308.526146396718,577.5597850855511,True,NONE
274,2023-03-21,28114.0,26114.05381161553,24616.860408989,1497.1934026265299,818.6772684877691,True,NONE
275,2023-03-22,27261.7,26427.176450385527,24848.023988997815,1579.1524613877118,1028.2184333883765,True,NONE
276,2023-03-23,28310.7,26878.331931955403,25158.78248435517,1719.5494476002314,1220.9852544448518,True,NONE
277,2023-03-24,27462.2,27106.595741306868,25374.94504673378,1731.650694573087,1371.2947446998696,True,NONE
278,2023-03-25,27475.6,27271.84072001821,25572.068606267763,1699.772113750445,1480.1290978605957,True,NONE
279,2023-03-26,27973.5,27456.166974460117,25797.43445224068,1658.7325222194377,1552.293486316979,True,NONE
280,2023-03-27,27129.8,27454.052810478177,25938.521132781094,1515.531677697083,1568.3020038936302,False,SELL
281,2023-03-28,27262.2,27483.506767761595,26074.943741715262,1408.563026046333,1550.8143896239242,False,NONE
282,2023-03-29,28350.4,27683.10437692839,26295.27749230483,1387.8268846235587,1525.0061281914457,False,NONE
283,2023-03-30,28029.5,27749.01726483273,26483.894984344795,1265.1222804879362,1471.9851462779743,False,NONE
284,2023-03-31,28473.7,27891.366346521932,26696.230454231543,1195.1358922903892,1409.3483808179788,False,NONE
285,2023-04-01,28456.1,27988.092906102804,26890.48637828841,1097.6065278143942,1335.414954108421,False,NONE
286,2023-04-02,28198.3,28029.888998077353,27048.717957006178,981.1710410711748,1246.8022269365988,False,NONE
287,2023-04-03,27802.1,27988.671463299546,27163.93011350206,824.7413497974849,1140.571581218947,False,NONE
288,2023-04-04,28164.4,28033.57271282133,27306.44772887703,727.1249839443008,1034.4822685602717,False,NONE
289,2023-04-05,28173.5,28052.384547922513,27453.478538908956,598.9060090135572,921.869657489328,False,NONE
290,2023-04-06,28036.7,28061.341950123202,27580.2088305783,481.133119544902,808.8367377508957,False,NONE
291,2023-04-07,27910.4,28046.725601777627,27683.562838742193,363.1627630354342,694.5516510935566,False,NONE
292,2023-04-08,27941.2,28029.851617520766,27765.67944262117,264.1721748995951,581.4428147550066,False,NONE
293,2023-04-09,28326.6,28099.19208371547,27851.878808765432,247.31327495003643,490.1304069294159,False,NONE
294,2023-04-10,29641.0,28383.474120218383,28036.784524588773,346.68959562961027,441.030281309667,False,NONE
295,2023-04-11,30209.6,28701.213544077775,28260.55948703832,440.6540570394536,425.1500411184338,True,BUY
296,2023-04-12,29886.4,28920.301381506066,28432.744932548623,487.5564489574426,425.755918187758,True,NONE
297,2023-04-13,30387.4,29183.884497132643,28609.287823655555,574.5966734770882,449.50607613540194,True,NONE
